Time,ccAnacapaREL,ccBajaCalif,ccChannelABSOLUTE,ccSanMiguelREL,ccSantaCruzREL,ccSantaRosaREL,con,disaster,ElNinoEventThisYear,ElNinoModelMemoryEventLastYear,ElNinoProbability,FINAL TIME,"flow2-1","flow2-3","flow2-4","flow2-5","flow3-1","flow3-2","flow3-4","flow3-5","flow4-1","flow4-2","flow4-3","flow4-5","flow5-1","flow5-2","flow5-3","flow5-4",flowAlaska,flowChannelBypass,flowChannelIslands,flowHawaii,INITIAL TIME,LaNinaEventThisYear,LaNinaModelMemoryEventLastYear,LaNinaProbability,LogicalAndElNinoThisYearAndLastYear,LogicalAndLaNinaThisYearAndLastYear,"migrationBypass%",mixer2,mixer3,mixer4,mixer5,pop2Anacapa,pop3SantaCruz,pop4SantaRosa,pop5SanMiguel,popAlaska,popBajaCalif,SAVEPER,TIME STEP
18,100,5000,500,100,150,150,1,0,0,0,,,6.31261,0.99696,1.04596,0.993692,3.8548,0.686823,0.668741,1.26872,0.626968,0.692316,0.627263,0.80106,22.2778,0.786176,2.37266,2.16229,5066.46,4739.09,260.909,66.4561,,0,0,,0,0,0.947818,,,,,106.313,153.855,150.627,122.278,5000,5066.46,1,
19,100,5000,500,100,150,150,1,0,0,0,,,0,0,0,0,1.37259,0.35243,0.610462,0.372176,1.75635,1.20113,1.06548,0.407361,258.651,6.47142,5.5312,3.97289,4705.71,4749.91,250.09,0,,0,0,,0,0,0.949982,,,,,99.1287,151.373,151.756,358.651,5000,4705.71,1,
20,100,5000,500,100,150,150,1,0,0,0,,,7.15369,0.863786,0.413634,0.882667,5.26161,0.600013,0.61607,0.398061,1.90938,0.84883,0.843405,0.874133,234.894,1.25837,4.35403,5.74152,5011.69,4510.68,489.321,11.6899,,0,0,,0,0,0.902136,,,,,107.154,155.262,151.909,334.894,5000,5011.69,1,
21,100,5000,500,100,150,150,1,0,0,0,,,0.547127,0.544195,0.708551,0.440984,4.44707,1.33253,0.534292,0.829571,4.20485,0.462699,0.553284,1.28995,480.122,0.59364,0.939953,17.2018,4748.21,4600.25,399.749,0,,0,0,,0,0,0.92005,,,,,100.547,154.447,154.205,580.122,5000,4748.21,1,
22,100,5000,500,100,150,150,1,0,0,0,,,0.695137,0.456145,0.607004,0.383887,0,0,0,0,16.1387,1.33652,0.468802,1.54499,383.574,8.92571,4.51055,7.06671,5089.57,4863.03,136.973,89.5723,,0,0,,0,0,0.972605,,,,,100.695,149.341,166.139,483.574,5000,5089.57,1,
23,100,5000,500,100,150,150,1,0,0,0,,,8.81519,0.725962,0.618578,0.517989,4.77655,0.632396,1.50618,1.52632,4.32339,0.760672,0.940384,0.124603,118.399,3.761,4.79754,6.10511,5173.86,4535.92,464.081,173.863,,0,0,,0,0,0.907184,,,,,108.815,154.777,154.323,218.399,5000,5173.86,1,
24,125,6250,625,125,187.5,187.5,1.25,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,426.586,6.21836,12.7249,5.15018,4498.37,4736.58,263.423,0,,1,0,,1,1,0.947315,,,,,103.292,152.799,156.404,551.586,5000,4498.37,1,
25,125,6250,625,125,187.5,187.5,1.25,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,239.33,1.64182,7.37123,5.70019,5163.16,4614.1,385.902,0,,1,1,,1,1,0.92282,,,,,109.51,165.524,161.554,364.33,5000,5163.16,1,
26,125,6250,625,125,187.5,187.5,1.25,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,371.188,11.8083,4.04642,11.8967,4853.43,4675.51,324.493,0,,0,1,,0,1,0.935101,,,,,111.152,172.895,167.255,496.188,5000,4853.43,1,
27,100,5000,500,100,150,150,1,0,0,0,,,22.96,1.16288,0.679232,0.992895,26.9415,0.23843,0.21975,0.0805652,29.1514,0.286221,0.440569,0.287325,321.742,11.9962,8.31117,0.971168,5046.7,4790.17,209.828,46.6953,,0,0,,0,0,0.958034,,,,,122.96,176.942,179.151,421.742,5000,5046.7,1,
