Time,ccAnacapaREL,ccBajaCalif,ccChannelABSOLUTE,ccSanMiguelREL,ccSantaCruzREL,ccSantaRosaREL,con,disaster,ElNinoEventThisYear,ElNinoModelMemoryEventLastYear,ElNinoProbability,FINAL TIME,"flow2-1","flow2-3","flow2-4","flow2-5","flow3-1","flow3-2","flow3-4","flow3-5","flow4-1","flow4-2","flow4-3","flow4-5","flow5-1","flow5-2","flow5-3","flow5-4",flowAlaska,flowChannelBypass,flowChannelIslands,flowHawaii,INITIAL TIME,LaNinaEventThisYear,LaNinaModelMemoryEventLastYear,LaNinaProbability,LogicalAndElNinoThisYearAndLastYear,LogicalAndLaNinaThisYearAndLastYear,"migrationBypass%",mixer2,mixer3,mixer4,mixer5,pop2Anacapa,pop3SantaCruz,pop4SantaRosa,pop5SanMiguel,popAlaska,popBajaCalif,SAVEPER,TIME STEP
17,100,5000,500,100,150,150,1,0,0,0,,,20.9226,0.923991,1.10976,0.999436,16.5811,0.525542,1.37391,0.0288591,19.0038,0.0624009,1.25193,1.04423,89.4499,4.99212,0.631153,0.190235,5340.47,4723.65,276.347,340.471,,0,0,,0,0,0.944731,,,,,120.923,166.581,169.004,189.45,5000,5340.47,1,
18,100,5000,500,100,150,150,1,0,0,0,,,2.54688,0.879051,0.220718,0.957749,0.878754,0.27789,0.915,0.882819,0.315338,1.2297,0.0576614,0.796521,272.606,6.40554,2.89603,1.1858,4529.14,4551.51,448.488,0,,0,0,,0,0,0.910302,,,,,102.547,150.879,150.315,372.606,5000,4529.14,1,
19,100,5000,500,100,150,150,1,0,0,0,,,5.85561,0.884439,0.506323,0.75401,1.75703,0.270049,1.24931,0.139161,0.237625,0.0952339,0.733418,0.194781,440.638,5.05071,3.4919,0.111421,4827.86,4697.11,302.887,0,,0,0,,0,0,0.939423,,,,,105.856,151.757,150.238,540.638,5000,4827.86,1,
20,100,5000,500,100,150,150,1,0,0,0,,,3.27122,0.961514,0.0623161,0.924031,3.45123,1.1823,0.725436,0.591423,0.843628,0.884658,0.566561,1.01876,295.321,4.01824,5.69383,3.58006,5145.6,4554.3,445.7,145.601,,0,0,,0,0,0.91086,,,,,103.271,153.451,150.844,395.321,5000,5145.6,1,
21,100,5000,500,100,150,150,1,0,0,0,,,4.13734,0.647598,0.273561,0.312265,4.72275,0.36712,1.54329,0.933638,1.89784,0.556149,1.38689,0.155859,434.942,8.93663,1.24257,8.45052,4711.59,4767.74,232.257,0,,0,0,,0,0,0.953549,,,,,104.137,154.723,151.898,534.942,5000,4711.59,1,
22,100,5000,500,100,150,150,1,0,0,0,,,8.62648,0.0381494,0.950979,0.447319,0.433014,0.696384,0.966391,0.440905,8.16847,0.0536724,0.776637,0.952226,215.029,0.766778,0.206754,4.03822,5213.44,4591.15,408.846,213.443,,0,0,,0,0,0.918231,,,,,108.626,150.433,158.168,315.029,5000,5213.44,1,
23,100,5000,500,100,150,150,1,0,0,0,,,0.0803833,0.484383,0.782432,0.448006,0,0,0,0,4.17305,1.03299,0.666685,0.0151283,405.675,8.09834,6.00137,13.9829,4609.97,4838.18,161.823,0,,0,0,,0,0,0.967635,,,,,100.08,148.918,154.173,505.675,5000,4609.97,1,
24,125,6250,625,125,187.5,187.5,1.25,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,109.204,1.66565,0.163958,0.586034,5248.11,4858.88,141.125,0,,1,0,,0,1,0.971775,,,,,107.417,156.07,163.051,234.204,5000,5248.11,1,
25,50,2500,250,50,75,75,0.5,0.5,1,0,,,59.0822,0.0525724,0.503966,0.156214,81.2343,0.853469,0.558771,1.47042,88.6366,1.40032,0.836882,1.21533,213.709,6.12702,7.06243,1.07721,4968.08,4582.32,417.68,2468.08,,0,1,,1,1,0.916464,,,,,109.082,156.234,163.637,263.709,5000,4968.08,1,
26,150,7500,750,150,225,225,1.5,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,306.255,5.0312,7.76413,11.2774,2556.9,4966.83,33.1691,0,,0,0,,1,0,0.993366,,,,,57.6681,80.0692,73.6874,456.255,5000,2556.9,1,
